02/27/2022 Test 1,h=0.005,t=2 seconds
Time,Total Energy,q1,q2,q3,q4,q5,q6,q7,q1d,q2d,q3d,q4d,q5d,q6d,q7d
0.155000,61.376454,1.58277,-0.380855,0.79686,-0.51222,0.111831,0.112097,0.112022,0.0811407,0.0793793,0.0743164,0.0731711,0.0791772,0.0827791,0.0817654,
0.160000,61.358912,1.58318,-0.380458,0.797231,-0.511854,0.112227,0.112511,0.112431,0.0812265,0.0794068,0.0741792,0.0729913,0.0791956,0.0829234,0.0818736,
0.165000,61.341365,1.58359,-0.380061,0.797602,-0.51149,0.112623,0.112926,0.112841,0.0813123,0.0794342,0.0740422,0.0728114,0.0792139,0.0830679,0.0819819,
0.170000,61.323813,1.58399,-0.379663,0.797971,-0.511126,0.113019,0.113342,0.113251,0.081398,0.0794616,0.0739054,0.0726316,0.079232,0.0832126,0.0820903,
0.175000,61.306257,1.5844,-0.379266,0.798341,-0.510764,0.113415,0.113758,0.113662,0.0814837,0.079489,0.0737688,0.0724516,0.0792499,0.0833575,0.0821987,
0.180000,61.288696,1.58481,-0.378869,0.798709,-0.510402,0.113811,0.114175,0.114073,0.0815693,0.0795164,0.0736325,0.0722716,0.0792676,0.0835025,0.0823071,
0.185000,61.271131,1.58521,-0.378471,0.799077,-0.510041,0.114208,0.114593,0.114485,0.0816549,0.0795437,0.0734964,0.0720916,0.0792851,0.0836478,0.0824156,
0.190000,61.253562,1.58562,-0.378073,0.799444,-0.509681,0.114604,0.115012,0.114897,0.0817404,0.079571,0.0733605,0.0719115,0.0793025,0.0837932,0.0825241,
0.195000,61.235988,1.58603,-0.377675,0.799811,-0.509322,0.115001,0.115431,0.11531,0.0818258,0.0795982,0.0732249,0.0717313,0.0793197,0.0839389,0.0826327,
0.200000,61.218410,1.58644,-0.377277,0.800176,-0.508964,0.115397,0.115851,0.115724,0.0819112,0.0796255,0.0730894,0.0715511,0.0793367,0.0840847,0.0827414,
0.205000,61.200827,1.58685,-0.376879,0.800541,-0.508606,0.115794,0.116272,0.116138,0.0819966,0.0796527,0.0729542,0.0713708,0.0793536,0.0842308,0.08285,
0.210000,61.183240,1.58726,-0.376481,0.800906,-0.50825,0.116191,0.116693,0.116552,0.0820819,0.0796799,0.0728192,0.0711905,0.0793702,0.084377,0.0829588,
0.215000,61.165648,1.58767,-0.376082,0.80127,-0.507894,0.116588,0.117116,0.116967,0.0821671,0.079707,0.0726845,0.0710101,0.0793867,0.0845234,0.0830676,
0.220000,61.148052,1.58808,-0.375684,0.801633,-0.50754,0.116985,0.117539,0.117383,0.0822523,0.0797341,0.0725499,0.0708297,0.079403,0.0846701,0.0831764,
0.225000,61.130452,1.58849,-0.375285,0.801995,-0.507186,0.117382,0.117962,0.117799,0.0823374,0.0797612,0.0724156,0.0706493,0.0794192,0.0848169,0.0832853,
0.230000,61.112848,1.58891,-0.374886,0.802357,-0.506833,0.117779,0.118387,0.118216,0.0824225,0.0797883,0.0722815,0.0704687,0.0794352,0.0849639,0.0833942,
0.235000,61.095239,1.58932,-0.374487,0.802718,-0.506481,0.118176,0.118812,0.118633,0.0825075,0.0798153,0.0721476,0.0702881,0.079451,0.0851111,0.0835032,
0.240000,61.077625,1.58973,-0.374088,0.803078,-0.50613,0.118574,0.119238,0.119051,0.0825924,0.0798424,0.072014,0.0701075,0.0794666,0.0852585,0.0836122,
0.245000,61.060008,1.59014,-0.373689,0.803438,-0.50578,0.118971,0.119665,0.119469,0.0826773,0.0798693,0.0718805,0.0699268,0.0794821,0.0854061,0.0837213,
0.250000,61.042386,1.59056,-0.373289,0.803797,-0.505431,0.119368,0.120092,0.119888,0.0827622,0.0798963,0.0717473,0.0697461,0.0794973,0.0855539,0.0838304,
0.255000,61.024760,1.59097,-0.37289,0.804156,-0.505083,0.119766,0.12052,0.120307,0.082847,0.0799232,0.0716143,0.0695653,0.0795125,0.0857018,0.0839396,
0.260000,61.007130,1.59139,-0.37249,0.804513,-0.504735,0.120164,0.120949,0.120727,0.0829317,0.0799501,0.0714815,0.0693844,0.0795274,0.08585,0.0840488,
0.265000,60.989495,1.5918,-0.37209,0.80487,-0.504389,0.120561,0.121379,0.121148,0.0830164,0.079977,0.0713489,0.0692035,0.0795422,0.0859984,0.0841581,
0.270000,60.971857,1.59222,-0.37169,0.805227,-0.504043,0.120959,0.121809,0.121569,0.083101,0.0800039,0.0712166,0.0690226,0.0795568,0.0861469,0.0842674,
0.275000,60.954214,1.59263,-0.37129,0.805583,-0.503699,0.121357,0.12224,0.121991,0.0831856,0.0800307,0.0710844,0.0688415,0.0795712,0.0862957,0.0843768,
0.280000,60.936566,1.59305,-0.37089,0.805938,-0.503355,0.121755,0.122672,0.122413,0.0832701,0.0800575,0.0709525,0.0686605,0.0795855,0.0864447,0.0844862,
0.285000,60.918915,1.59347,-0.370489,0.806292,-0.503012,0.122153,0.123105,0.122835,0.0833546,0.0800843,0.0708208,0.0684794,0.0795996,0.0865938,0.0845956,
0.290000,60.901260,1.59388,-0.370089,0.806646,-0.50267,0.122551,0.123538,0.123259,0.083439,0.080111,0.0706893,0.0682982,0.0796135,0.0867432,0.0847052,
0.295000,60.883600,1.5943,-0.369688,0.806999,-0.502329,0.122949,0.123972,0.123683,0.0835233,0.0801377,0.070558,0.068117,0.0796273,0.0868927,0.0848147,
0.300000,60.865936,1.59472,-0.369288,0.807351,-0.501989,0.123347,0.124407,0.124107,0.0836076,0.0801644,0.070427,0.0679357,0.0796408,0.0870424,0.0849244,
0.305000,60.848268,1.59514,-0.368887,0.807703,-0.50165,0.123745,0.124842,0.124532,0.0836919,0.0801911,0.0702961,0.0677544,0.0796543,0.0871924,0.085034,
0.310000,60.830596,1.59555,-0.368486,0.808054,-0.501312,0.124143,0.125279,0.124957,0.083776,0.0802177,0.0701655,0.067573,0.0796675,0.0873425,0.0851437,
0.315000,60.812920,1.59597,-0.368085,0.808405,-0.500974,0.124542,0.125716,0.125383,0.0838602,0.0802444,0.0700351,0.0673915,0.0796806,0.0874928,0.0852535,
0.320000,60.795240,1.59639,-0.367683,0.808755,-0.500638,0.12494,0.126154,0.12581,0.0839442,0.080271,0.0699049,0.06721,0.0796935,0.0876433,0.0853633,
0.325000,60.777555,1.59681,-0.367282,0.809104,-0.500302,0.125339,0.126592,0.126237,0.0840283,0.0802975,0.0697749,0.0670285,0.0797063,0.087794,0.0854732,
0.330000,60.759867,1.59723,-0.36688,0.809452,-0.499967,0.125737,0.127032,0.126664,0.0841122,0.0803241,0.0696451,0.0668469,0.0797189,0.087945,0.0855831,
0.335000,60.742175,1.59765,-0.366479,0.8098,-0.499634,0.126136,0.127472,0.127093,0.0841961,0.0803506,0.0695156,0.0666652,0.0797313,0.0880961,0.0856931,
0.340000,60.724478,1.59808,-0.366077,0.810148,-0.499301,0.126535,0.127913,0.127521,0.08428,0.0803771,0.0693862,0.0664835,0.0797436,0.0882474,0.0858031,
0.345000,60.706778,1.5985,-0.365675,0.810494,-0.498969,0.126933,0.128354,0.127951,0.0843638,0.0804036,0.0692571,0.0663017,0.0797557,0.0883989,0.0859132,
0.350000,60.689073,1.59892,-0.365273,0.81084,-0.498638,0.127332,0.128797,0.128381,0.0844475,0.0804301,0.0691282,0.0661199,0.0797676,0.0885505,0.0860233,
0.355000,60.671365,1.59934,-0.36487,0.811186,-0.498308,0.127731,0.12924,0.128811,0.0845312,0.0804565,0.0689994,0.065938,0.0797794,0.0887024,0.0861335,
0.360000,60.653652,1.59976,-0.364468,0.81153,-0.497978,0.12813,0.129684,0.129242,0.0846148,0.0804829,0.0688709,0.0657561,0.079791,0.0888545,0.0862437,
0.365000,60.635936,1.60019,-0.364066,0.811874,-0.49765,0.128529,0.130128,0.129673,0.0846984,0.0805093,0.0687426,0.0655741,0.0798024,0.0890068,0.086354,
0.370000,60.618215,1.60061,-0.363663,0.812218,-0.497323,0.128928,0.130574,0.130105,0.0847819,0.0805357,0.0686145,0.0653921,0.0798137,0.0891593,0.0864643,
0.375000,60.600491,1.60104,-0.36326,0.81256,-0.496996,0.129327,0.13102,0.130538,0.0848654,0.080562,0.0684867,0.06521,0.0798248,0.089312,0.0865747,
0.380000,60.582763,1.60146,-0.362857,0.812902,-0.49667,0.129726,0.131467,0.130971,0.0849488,0.0805883,0.068359,0.0650279,0.0798357,0.0894648,0.0866851,
0.385000,60.565031,1.60189,-0.362454,0.813244,-0.496346,0.130125,0.131914,0.131405,0.0850322,0.0806146,0.0682315,0.0648457,0.0798465,0.0896179,0.0867956,
0.390000,60.547295,1.60231,-0.362051,0.813585,-0.496022,0.130525,0.132363,0.131839,0.0851155,0.0806409,0.0681043,0.0646634,0.0798572,0.0897712,0.0869061,
0.395000,60.529555,1.60274,-0.361648,0.813925,-0.495699,0.130924,0.132812,0.132274,0.0851987,0.0806672,0.0679772,0.0644811,0.0798676,0.0899246,0.0870167,
0.400000,60.511811,1.60316,-0.361245,0.814265,-0.495377,0.131323,0.133262,0.132709,0.0852819,0.0806934,0.0678504,0.0642987,0.0798779,0.0900783,0.0871273,
0.405000,60.494063,1.60359,-0.360841,0.814604,-0.495056,0.131723,0.133713,0.133145,0.085365,0.0807196,0.0677238,0.0641163,0.0798881,0.0902322,0.087238,
0.410000,60.476311,1.60402,-0.360437,0.814942,-0.494736,0.132122,0.134165,0.133582,0.0854481,0.0807458,0.0675973,0.0639338,0.0798981,0.0903862,0.0873487,
0.415000,60.458556,1.60444,-0.360034,0.815279,-0.494417,0.132522,0.134617,0.134019,0.0855311,0.080772,0.0674711,0.0637513,0.0799079,0.0905405,0.0874595,
0.420000,60.440797,1.60487,-0.35963,0.815617,-0.494098,0.132921,0.13507,0.134456,0.0856141,0.0807981,0.0673451,0.0635687,0.0799176,0.0906949,0.0875703,
0.425000,60.423034,1.6053,-0.359226,0.815953,-0.493781,0.133321,0.135524,0.134894,0.085697,0.0808243,0.0672193,0.0633861,0.0799271,0.0908496,0.0876812,
0.430000,60.405267,1.60573,-0.358821,0.816289,-0.493465,0.133721,0.135978,0.135333,0.0857799,0.0808504,0.0670937,0.0632034,0.0799364,0.0910044,0.0877921,
0.435000,60.387496,1.60616,-0.358417,0.816624,-0.493149,0.13412,0.136434,0.135772,0.0858627,0.0808765,0.0669683,0.0630207,0.0799456,0.0911594,0.0879031,
0.440000,60.369722,1.60659,-0.358013,0.816958,-0.492834,0.13452,0.13689,0.136212,0.0859454,0.0809025,0.0668431,0.0628379,0.0799547,0.0913147,0.0880142,
0.445000,60.351944,1.60702,-0.357608,0.817292,-0.492521,0.13492,0.137347,0.136652,0.0860281,0.0809286,0.0667181,0.062655,0.0799636,0.0914701,0.0881252,
0.450000,60.334162,1.60745,-0.357203,0.817626,-0.492208,0.13532,0.137805,0.137093,0.0861107,0.0809546,0.0665933,0.0624721,0.0799723,0.0916258,0.0882364,
0.455000,60.316376,1.60788,-0.356799,0.817958,-0.491896,0.13572,0.138263,0.137535,0.0861933,0.0809806,0.0664688,0.0622891,0.0799808,0.0917816,0.0883476,
0.460000,60.298587,1.60831,-0.356394,0.81829,-0.491585,0.13612,0.138723,0.137977,0.0862759,0.0810066,0.0663444,0.0621061,0.0799893,0.0919376,0.0884588,
0.465000,60.280794,1.60874,-0.355988,0.818622,-0.491275,0.13652,0.139183,0.138419,0.0863583,0.0810326,0.0662202,0.061923,0.0799975,0.0920939,0.0885701,
0.470000,60.262997,1.60917,-0.355583,0.818952,-0.490966,0.13692,0.139643,0.138863,0.0864407,0.0810585,0.0660962,0.0617399,0.0800056,0.0922503,0.0886815,
0.475000,60.245196,1.60961,-0.355178,0.819283,-0.490658,0.13732,0.140105,0.139306,0.0865231,0.0810845,0.0659725,0.0615567,0.0800135,0.0924069,0.0887929,
0.480000,60.227392,1.61004,-0.354772,0.819612,-0.49035,0.13772,0.140568,0.13975,0.0866054,0.0811104,0.0658489,0.0613735,0.0800213,0.0925638,0.0889043,
0.485000,60.209584,1.61047,-0.354367,0.819941,-0.490044,0.13812,0.141031,0.140195,0.0866877,0.0811363,0.0657255,0.0611902,0.080029,0.0927208,0.0890158,
0.490000,60.191773,1.6109,-0.353961,0.820269,-0.489738,0.13852,0.141495,0.140641,0.0867699,0.0811622,0.0656023,0.0610068,0.0800365,0.092878,0.0891274,
0.495000,60.173957,1.61134,-0.353555,0.820597,-0.489434,0.13892,0.14196,0.141087,0.086852,0.081188,0.0654794,0.0608234,0.0800438,0.0930354,0.089239,
0.500000,60.156139,1.61177,-0.353149,0.820924,-0.48913,0.13932,0.142425,0.141533,0.0869341,0.0812139,0.0653566,0.06064,0.080051,0.0931931,0.0893506,
0.505000,60.138316,1.61221,-0.352743,0.821251,-0.488827,0.139721,0.142891,0.14198,0.0870161,0.0812397,0.065234,0.0604564,0.080058,0.0933509,0.0894623,
0.510000,60.120490,1.61264,-0.352337,0.821577,-0.488525,0.140121,0.143359,0.142428,0.0870981,0.0812655,0.0651116,0.0602729,0.0800648,0.0935089,0.0895741,
0.515000,60.102661,1.61308,-0.35193,0.821902,-0.488225,0.140521,0.143827,0.142876,0.08718,0.0812913,0.0649895,0.0600892,0.0800716,0.0936671,0.0896859,
0.520000,60.084827,1.61352,-0.351524,0.822226,-0.487925,0.140922,0.144295,0.143324,0.0872619,0.0813171,0.0648675,0.0599055,0.0800781,0.0938256,0.0897978,
0.525000,60.066991,1.61395,-0.351117,0.822551,-0.487626,0.141322,0.144765,0.143774,0.0873437,0.0813429,0.0647457,0.0597218,0.0800845,0.0939842,0.0899097,
0.530000,60.049150,1.61439,-0.35071,0.822874,-0.487327,0.141723,0.145235,0.144224,0.0874254,0.0813686,0.0646241,0.059538,0.0800908,0.094143,0.0900216,
0.535000,60.031306,1.61483,-0.350304,0.823197,-0.48703,0.142123,0.145706,0.144674,0.0875072,0.0813943,0.0645027,0.0593542,0.0800969,0.094302,0.0901337,
0.540000,60.013459,1.61526,-0.349896,0.823519,-0.486734,0.142523,0.146178,0.145125,0.0875888,0.08142,0.0643815,0.0591702,0.0801029,0.0944613,0.0902457,
0.545000,59.995608,1.6157,-0.349489,0.823841,-0.486438,0.142924,0.146651,0.145576,0.0876704,0.0814457,0.0642606,0.0589863,0.0801087,0.0946207,0.0903579,
0.550000,59.977754,1.61614,-0.349082,0.824162,-0.486144,0.143325,0.147124,0.146029,0.0877519,0.0814714,0.0641398,0.0588023,0.0801143,0.0947803,0.09047,
0.555000,59.959896,1.61658,-0.348675,0.824482,-0.48585,0.143725,0.147599,0.146481,0.0878334,0.0814971,0.0640192,0.0586182,0.0801198,0.0949401,0.0905823,
0.560000,59.942034,1.61702,-0.348267,0.824802,-0.485558,0.144126,0.148074,0.146934,0.0879148,0.0815227,0.0638987,0.058434,0.0801252,0.0951002,0.0906946,
0.565000,59.924169,1.61746,-0.347859,0.825121,-0.485266,0.144526,0.14855,0.147388,0.0879962,0.0815484,0.0637785,0.0582499,0.0801304,0.0952604,0.0908069,
0.570000,59.906301,1.6179,-0.347452,0.82544,-0.484975,0.144927,0.149026,0.147842,0.0880775,0.081574,0.0636585,0.0580656,0.0801355,0.0954208,0.0909193,
0.575000,59.888429,1.61834,-0.347044,0.825758,-0.484685,0.145328,0.149504,0.148297,0.0881588,0.0815996,0.0635387,0.0578813,0.0801404,0.0955814,0.0910317,
0.580000,59.870554,1.61878,-0.346636,0.826075,-0.484396,0.145728,0.149982,0.148753,0.08824,0.0816252,0.0634191,0.0576969,0.0801452,0.0957423,0.0911442,
0.585000,59.852675,1.61922,-0.346227,0.826392,-0.484108,0.146129,0.150461,0.149209,0.0883211,0.0816507,0.0632996,0.0575125,0.0801498,0.0959033,0.0912567,
0.590000,59.834793,1.61966,-0.345819,0.826708,-0.483821,0.14653,0.150941,0.149665,0.0884022,0.0816763,0.0631804,0.0573281,0.0801543,0.0960645,0.0913693,
0.595000,59.816907,1.62011,-0.345411,0.827024,-0.483535,0.146931,0.151422,0.150122,0.0884833,0.0817018,0.0630613,0.0571435,0.0801586,0.096226,0.091482,
