h=0.005,t=5seconds
Time, Kinetic Energy, Potential Energy, Total Energy,q1,q2,q3,q4,q5,q6,q7,q1d,q2d,q3d,q4d,q5d,q6d,q7d
0.000000,0.000000,40.125515,40.125515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.005000,0.011047,40.114469,40.125516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.010000,0.044182,40.081334,40.125516,-7.07205e-06,0.000375495,7.9863e-05,-0.00042092,-9.64105e-05,5.67376e-05,1.77326e-05,-0.00282051,0.15019,0.0319454,-0.168339,-0.0385513,0.0226715,0.00708424,
0.015000,0.099389,40.026127,40.125516,-2.8184e-05,0.00150184,0.000319448,-0.00168322,-0.000385456,0.000226588,7.0801e-05,-0.00559085,0.300297,0.0638866,-0.336427,-0.0770043,0.0451463,0.0140999,
0.020000,0.176641,39.948875,40.125516,-6.29594e-05,0.0033784,0.000718723,-0.00378503,-0.000866394,0.000508071,0.00015869,-0.00826078,0.450236,0.0958165,-0.504011,-0.115255,0.0672229,0.0209769,
0.025000,0.275899,39.849616,40.125515,-0.000110771,0.00600413,0.0012776,-0.00672317,-0.00153795,0.000898685,0.000280527,-0.01078,0.59992,0.127722,-0.670827,-0.153191,0.0886912,0.0276422,
0.030000,0.397113,39.728402,40.125515,-0.000170738,0.00937754,0.00199593,-0.0104931,-0.00239823,0.00139485,0.000435068,-0.013098,0.749257,0.15958,-0.836598,-0.190682,0.109328,0.0340188,
0.035000,0.540217,39.585296,40.125514,-0.00024173,0.0134966,0.00287339,-0.015089,-0.00344469,0.00199182,0.00062067,-0.0151646,0.898149,0.191358,-1.00103,-0.227581,0.128893,0.0400242,
0.040000,0.705133,39.420379,40.125512,-0.000322364,0.018359,0.00390949,-0.0205032,-0.00467396,0.00268363,0.000835262,-0.0169298,1.04649,0.223006,-1.1638,-0.263717,0.147126,0.0455691,
0.045000,0.891767,39.233743,40.125510,-0.000411008,0.0239615,0.00510343,-0.0267268,-0.00608178,0.00346294,0.00107631,-0.0183443,1.19417,0.254462,-1.32458,-0.298893,0.163744,0.0505573,
