h=0.005,t=5seconds
Time, Kinetic Energy, Potential Energy, Total Energy,q1,q2,q3,q4,q5,q6,q7,q1d,q2d,q3d,q4d,q5d,q6d,q7d
0.160000,2.740945,33.241771,35.982717,0.117555,0.114896,0.128742,0.13931,0.127875,0.0974368,0.127973,0.735907,0.711854,0.857491,0.976812,0.864606,0.478192,0.869468,
0.165000,2.740946,33.035803,35.776749,0.121232,0.118453,0.133031,0.144201,0.132204,0.0998055,0.132328,0.73489,0.711038,0.858226,0.9792,0.867076,0.469343,0.872319,
0.170000,2.740946,32.830459,35.571406,0.124904,0.122007,0.137324,0.149102,0.136546,0.10213,0.136697,0.733926,0.710328,0.858901,0.981325,0.869521,0.460614,0.875154,
0.175000,2.740947,32.625745,35.366692,0.128572,0.125557,0.14162,0.154014,0.1409,0.104412,0.141079,0.733014,0.709722,0.859523,0.983185,0.871936,0.452009,0.87797,
0.180000,2.740947,32.421666,35.162613,0.132234,0.129104,0.145919,0.158934,0.145265,0.10665,0.145476,0.732157,0.70922,0.860095,0.984779,0.87432,0.443532,0.880766,
0.185000,2.740948,32.218227,34.959175,0.135893,0.132649,0.150221,0.163862,0.149643,0.108847,0.149887,0.731355,0.708823,0.860623,0.986107,0.876669,0.435188,0.883539,
0.190000,2.740948,32.015434,34.756382,0.139548,0.136192,0.154525,0.168795,0.154032,0.111002,0.154312,0.73061,0.70853,0.861113,0.987167,0.878979,0.426979,0.886287,
0.195000,2.740949,31.813293,34.554242,0.143199,0.139734,0.158832,0.173733,0.158433,0.113117,0.15875,0.729922,0.708341,0.861569,0.987958,0.881247,0.418911,0.88901,
0.200000,2.740949,31.611808,34.352757,0.146847,0.143275,0.163141,0.178675,0.162844,0.115191,0.163202,0.729292,0.708255,0.861996,0.988481,0.883469,0.410986,0.891706,
0.205000,2.740949,31.410985,34.151935,0.150492,0.146817,0.167452,0.183618,0.167267,0.117227,0.167667,0.728723,0.708273,0.8624,0.988735,0.885644,0.40321,0.894372,
0.210000,2.740950,31.210829,33.951779,0.154134,0.150358,0.171765,0.188562,0.171701,0.119223,0.172145,0.728213,0.708393,0.862786,0.988719,0.887766,0.395584,0.897008,
0.215000,2.740950,31.011346,33.752296,0.157774,0.153901,0.17608,0.193505,0.176145,0.121182,0.176637,0.727764,0.708615,0.863159,0.988435,0.889833,0.388113,0.899613,
0.220000,2.740951,30.812539,33.553490,0.161412,0.157444,0.180397,0.198447,0.180599,0.123105,0.181142,0.727378,0.708938,0.863523,0.987882,0.891841,0.3808,0.902183,
0.225000,2.740951,30.614415,33.355366,0.165048,0.16099,0.184715,0.203384,0.185063,0.12499,0.185659,0.727054,0.709362,0.863885,0.987061,0.893787,0.373647,0.90472,
0.230000,2.740951,30.416977,33.157929,0.168683,0.164538,0.189036,0.208317,0.189537,0.126841,0.190189,0.726793,0.709885,0.864248,0.985973,0.895668,0.366657,0.90722,
0.235000,2.740952,30.220232,32.961184,0.172316,0.168089,0.193358,0.213244,0.19402,0.128657,0.194731,0.726597,0.710507,0.864617,0.984617,0.89748,0.359833,0.909684,
0.240000,2.740952,30.024183,32.765135,0.175949,0.171643,0.197682,0.218163,0.198512,0.130439,0.199286,0.726465,0.711227,0.864998,0.982996,0.899221,0.353178,0.912109,
0.245000,2.740952,29.828836,32.569789,0.179581,0.175201,0.202008,0.223074,0.203012,0.132189,0.203852,0.726398,0.712044,0.865395,0.981111,0.900887,0.346693,0.914496,
0.250000,2.740952,29.634196,32.375148,0.183213,0.178763,0.206336,0.227974,0.207521,0.133906,0.208431,0.726398,0.712957,0.865812,0.978962,0.902475,0.340381,0.916842,
0.255000,2.740953,29.440266,32.181219,0.186845,0.182331,0.210666,0.232864,0.212037,0.135593,0.213021,0.726464,0.713964,0.866254,0.976551,0.903982,0.334244,0.919147,
0.260000,2.740953,29.247052,31.988005,0.190477,0.185903,0.214998,0.23774,0.21656,0.137249,0.217622,0.726597,0.715065,0.866725,0.973881,0.905406,0.328283,0.921411,
0.265000,2.740953,29.054558,31.795511,0.194111,0.189481,0.219333,0.242602,0.221091,0.138875,0.222235,0.726797,0.716257,0.867229,0.970952,0.906744,0.322499,0.923632,
0.270000,2.740953,28.862789,31.603742,0.197745,0.193066,0.223671,0.24745,0.225628,0.140474,0.226858,0.727065,0.71754,0.867771,0.967767,0.907992,0.316895,0.92581,
0.275000,2.740954,28.671748,31.412702,0.201381,0.196657,0.228011,0.25228,0.230171,0.142044,0.231493,0.727401,0.718913,0.868354,0.964329,0.909149,0.31147,0.927944,
